Roll,Name,Email
1401CH60,Shriya,Shriya@mycollege.in
1401CS60,Smita,Smita@mycollege.in
1401CT60,Janvi,Janvi@mycollege.in
1401MC56,Raunak,Raunak@mycollege.in
1401MM56,Anubhuti,Anubhuti@mycollege.in
1401MT56,Nishchay,Nishchay@mycollege.in
1401CH61,Tharun,Tharun@mycollege.in
1401CS61,Subhra,Subhra@mycollege.in
1401CT61,Jai,Jai@mycollege.in
1401MC57,Mangal,Mangal@mycollege.in
1401MM57,Vashif,Vashif@mycollege.in
1401MT57,Shagun,Shagun@mycollege.in
1401CH62,Karan,Karan@mycollege.in
1401CS62,Tuhin,Tuhin@mycollege.in
1401CT62,Naziya,Naziya@mycollege.in
1401MC58,Tejas,Tejas@mycollege.in
1401MM58,Jahangeer,Jahangeer@mycollege.in
1401MT58,Joy,Joy@mycollege.in
1401CH63,Kiran,Kiran@mycollege.in
1401CS63,Arti,Arti@mycollege.in
1401CT63,Ragini,Ragini@mycollege.in
1401MC59,Mayur,Mayur@mycollege.in
1401MM59,Sharanya,Sharanya@mycollege.in
1401MT59,Reshami,Reshami@mycollege.in
1401CH64,Tarun,Tarun@mycollege.in
1401CS64,Aakash,Aakash@mycollege.in
1401CT64,Priyam,Priyam@mycollege.in
1401MC60,Ravisankar,Ravisankar@mycollege.in
1401MM60,Saudamini,Saudamini@mycollege.in
1401MT60,Ronit,Ronit@mycollege.in
1401CH65,Samarth,Samarth@mycollege.in
1401CS65,Ayan,Ayan@mycollege.in
1401MC61,Mahesh,Mahesh@mycollege.in
1401MM61,Arshad,Arshad@mycollege.in
1401MT61,Rishu,Rishu@mycollege.in
1401CH66,Ruchi,Ruchi@mycollege.in
1401CS66,Aryan,Aryan@mycollege.in
1401MC62,Mahato,Mahato@mycollege.in
1401MM62,Yeram,Yeram@mycollege.in
1401MT62,Prasun,Prasun@mycollege.in
1401CH67,Udit,Udit@mycollege.in
1401CS67,Vertika,Vertika@mycollege.in
1401MC63,Aaryan,Aaryan@mycollege.in
1401MM63,Asad,Asad@mycollege.in
1401MT63,Prakharendra,Prakharendra@mycollege.in
1401CH68,Rashi,Rashi@mycollege.in
1401CS68,Umme,Umme@mycollege.in
1401MC64,Manas,Manas@mycollege.in
1401MM64,Asthana,Asthana@mycollege.in
1401MT64,Priyamvada,Priyamvada@mycollege.in
1401CH69,Shailendra,Shailendra@mycollege.in
1401CS69,Yukti,Yukti@mycollege.in
1401MC65,Surbhi,Surbhi@mycollege.in
1401MM65,Asmita,Asmita@mycollege.in
1401MT65,Rajneesh,Rajneesh@mycollege.in
1401CH70,Sameer,Sameer@mycollege.in
1401CS70,Vishesh,Vishesh@mycollege.in
1401MC66,Deepshikha,Deepshikha@mycollege.in
1401MM66,Ashal,Ashal@mycollege.in
1401MT66,Kausar,Kausar@mycollege.in
1401CH71,Shubhi,Shubhi@mycollege.in
1401CS71,Ayushman,Ayushman@mycollege.in
1401MC67,Amar,Amar@mycollege.in
1401MM67,Zeal,Zeal@mycollege.in
1401MT67,Rouby,Rouby@mycollege.in
1401CH72,Siddhant,Siddhant@mycollege.in
1401CS72,Geeta,Geeta@mycollege.in
1401MC68,Anuj,Anuj@mycollege.in
1401MM68,Areeb,Areeb@mycollege.in
1401MT68,Sanket,Sanket@mycollege.in
1401CH73,Mahi,Mahi@mycollege.in
1401CS73,Divyanshu,Divyanshu@mycollege.in
1401MC69,Siddhesh,Siddhesh@mycollege.in
1401MM69,Archita,Archita@mycollege.in
1401MT69,Hari,Hari@mycollege.in
1401CH74,Kanika,Kanika@mycollege.in
1401CS74,Jaswant,Jaswant@mycollege.in
1401MC70,Venkata,Venkata@mycollege.in
1401MM70,Archi,Archi@mycollege.in
1401MT70,Saumile,Saumile@mycollege.in
1401CH75,Aishwarya,Aishwarya@mycollege.in
1401CS75,Hemanshu,Hemanshu@mycollege.in
1401MC71,Renu,Renu@mycollege.in
1401MM71,Arish,Arish@mycollege.in
1401MT71,Shagufta,Shagufta@mycollege.in
1401CH76,Rajat,Rajat@mycollege.in
1401CS76,Bhoopendra,Bhoopendra@mycollege.in
1401MC72,Farhan,Farhan@mycollege.in
1401MM72,Shyamali,Shyamali@mycollege.in
1401MT72,Shaad,Shaad@mycollege.in
1401CH77,Rituraj,Rituraj@mycollege.in
1401CS77,Bhawana,Bhawana@mycollege.in
1401MC73,Vignesh,Vignesh@mycollege.in
1401MM73,Sejal,Sejal@mycollege.in
1401MT73,Rupali,Rupali@mycollege.in
1401CH78,Naman,Naman@mycollege.in
1401CS78,Divakar,Divakar@mycollege.in
1401MC74,Abhimanyu,Abhimanyu@mycollege.in
1401MM74,Shaileja,Shaileja@mycollege.in
1401MT74,Jenamani,Jenamani@mycollege.in
1401CH79,Mukesh,Mukesh@mycollege.in
1401CS79,Dimpal,Dimpal@mycollege.in
1401MC75,Faraz,Faraz@mycollege.in
1401MM75,Gitanshu,Gitanshu@mycollege.in
1401MT75,Sadiya,Sadiya@mycollege.in
1401CH80,Roshan,Roshan@mycollege.in
1401CS80,Shrestha,Shrestha@mycollege.in
1401MM76,Mansoon,Mansoon@mycollege.in
1401MT76,Saksham,Saksham@mycollege.in
1401CH81,Nandini,Nandini@mycollege.in
1401CS81,Shivanshi,Shivanshi@mycollege.in
1401MM77,Akshaya,Akshaya@mycollege.in
1401MT77,Saharsh,Saharsh@mycollege.in
1401CH82,Rashmi,Rashmi@mycollege.in
1401CS82,Shubh,Shubh@mycollege.in
1401MM78,Madhusri,Madhusri@mycollege.in
1401MT78,Kushan,Kushan@mycollege.in
1401CH83,Vigneshwaran,Vigneshwaran@mycollege.in
1401CS83,Shreyash,Shreyash@mycollege.in
1401MM79,Meet,Meet@mycollege.in
1401CH84,Kriti,Kriti@mycollege.in
1401CS84,Satyarth,Satyarth@mycollege.in
1401MM80,Prajeeth,Prajeeth@mycollege.in
1401CS85,Satyam,Satyam@mycollege.in
1401MM81,Gyanvi,Gyanvi@mycollege.in
1401CS86,Shilpa,Shilpa@mycollege.in
1401MM82,Govindam,Govindam@mycollege.in
1401CS87,Shikha,Shikha@mycollege.in
1401CS88,Soniya,Soniya@mycollege.in
1401CS89,Tanay,Tanay@mycollege.in
1401CS90,Sushant,Sushant@mycollege.in
1401CS91,Ujjwal,Ujjwal@mycollege.in
1401CS92,Tanu,Tanu@mycollege.in
1401CS93,Subham,Subham@mycollege.in
1401CS94,Srishti,Srishti@mycollege.in
1401CS95,Suryakant,Suryakant@mycollege.in
